Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Systolic	Diastolic	Barometric Pressure	Water Vapour Pressure	 	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time	Cmt Text
L/s	%O2	%CO2	mmHg	V	%	%O2	%CO2	cm/s	cm/s	L	L	BPM	L/min	L/min	%O2	%CO2	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	mmHg	mmHg	mmHg	s	 
-0.002216324909	14.99987958	5.249255619	114.84375	-2.018411347	98.25	19.33082581	1.692703605	59.125	38.0625	-0.0003381333954	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	101.2674942	35.43888092	87.74451447	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	722.1220093	#NUM!	695.9466093	 
0	14.62887061	5.512051549	116.75	-2.019529978	98.1875	19.33082581	1.692703605	75.5625	39.5	-0.001383666764	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	98.76272583	37.21307373	90.74276733	50.70880127	27.31456947	60.17542267	116.7980576	71.45596313	722.1220093	363.4578857	696.9716093	 
-0.001477550017	14.47428354	5.645112779	119.3125	-2.01960138	98.21875	19.33082581	1.692703605	81.90625	40.59375	-0.002358352067	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	97.71907043	38.1114006	90.60534668	50.96184158	29.00192261	60.98867416	119.3414383	71.53753662	722.1220093	380.6771851	697.9866093	 
-0.0007387750084	14.50520096	5.681704617	120.59375	-2.019125366	98.25	19.33082581	1.692703605	76.53125	38.4375	-0.003221946768	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	97.92781067	38.35843658	91.97505951	50.96184158	28.38854218	61.85462952	120.5999222	72.426651	722.1220093	393.9719543	698.9566093	 
-0.002216324909	17.34960305	3.622582079	121.875	-2.018958762	98.25	19.33082581	1.692703605	76.625	40.125	-0.004110964481	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	117.1309967	24.45685005	92.19474792	49.72608566	32.82573318	66.07459259	121.9305573	73.46299744	722.1220093	408.899292	699.9466093	 
0	20.41042703	0.1962553994	122.15625	-2.017768729	98.28125	19.33082581	1.692703605	62.3125	31.0625	-0.005046712235	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	137.7952881	1.324963331	93.36509705	48.9776001	37.38038635	68.73976135	122.1575012	75.62379456	722.1220093	422.5686035	700.9166093	 
-0.001477550017	20.47226186	0.07317376144	123.46875	-2.017768729	98.53125	19.33082581	1.692703605	63.8125	36.65625	-0.005891480017	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	138.212738	0.4940121472	95.59231567	50.14548111	35.15093613	67.81732178	123.4698639	77.84310913	722.1220093	444.8110352	701.8316093	 
-0.0007387750084	20.50317927	0.05654110766	128.15625	-2.019387174	98.375	19.33082581	1.692703605	63.84375	37.5625	-0.006659290288	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	138.4214783	0.381721437	98.77805328	49.31942749	30.36900902	82.28720856	128.2972717	78.81119537	722.1220093	487.9721069	702.7016093	 
