Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Systolic	Diastolic	Barometric Pressure	Water Vapour Pressure	 	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time	Cmt Text
L/s	%O2	%CO2	mmHg	V	%	%O2	%CO2	cm/s	cm/s	L	L	BPM	L/min	L/min	%O2	%CO2	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	mmHg	mmHg	mmHg	s	 
0.003693875158	20.5650141	0.06984723068	100.96875	-2.252990634	0.40625	13.34410286	3.636795998	-0.25	-0.125	0.0008354905294	#NUM!	#NUM!	#NUM!	#NUM!	20.65776634	0.06652069837	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	138.8389282	0.4715540409	41.49908447	-0.15625	-0.02678571455	#NUM!	#NUM!	#NUM!	722.1220093	#NUM!	0.215	 
0.008126525208	20.59593152	0.07317376144	100.625	-1.971738256	0.4375	13.34410286	3.636795998	-0.1875	0.125	0.004884158727	#NUM!	#NUM!	#NUM!	#NUM!	20.59593201	0.06652069837	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	139.0476685	0.4940121472	38.41362	-0.1458333284	-0.0223214291	#NUM!	#NUM!	#NUM!	722.1220093	#NUM!	1.24	 
0.002216324909	20.5650141	0.0765002922	100.875	-2.07022538	0.4375	13.34410286	3.636795998	-0.09375	-0.09375	0.008746552281	#NUM!	#NUM!	#NUM!	#NUM!	20.62684822	0.06652069837	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	138.8389282	0.5164703131	#NUM!	-0.09375	-0.01953125	#NUM!	#NUM!	#NUM!	722.1220093	#NUM!	2.215	 
0.002216324909	20.5650141	0.05986763841	106.59375	-1.993087446	98.1875	15.67143345	2.540826082	47.84375	33.53125	-0.000249876146	#NUM!	#NUM!	#NUM!	#NUM!	20.65776634	0.05654110759	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	138.8389282	0.4041796029	76.53450012	46.49383163	39.82143021	80	#NUM!	#NUM!	722.1220093	#NUM!	685.0464907	 
0.01108162571	20.53409669	0.06652069993	106	-2.035547821	97.1875	15.67143345	2.540826082	42.90625	36.15625	0.001355966087	#NUM!	#NUM!	#NUM!	#NUM!	20.62684822	0.06319417059	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	138.6302032	0.449095875	76.53450012	46.27291489	39.68621445	80	106.0255203	58.26123047	722.1220093	241.8789978	685.8064907	 
0.01329795085	20.59593152	0.06984723068	105.9375	-2.012722989	97.34375	15.67143345	2.540826082	39.5	36	0.001503593056	#NUM!	#NUM!	#NUM!	#NUM!	20.62684822	0.06319417059	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	139.0476685	0.4715540409	76.57678223	46.27291489	39.68621445	80	106.0255203	58.26123047	722.1220093	241.8789978	685.8164907	 
0.01182040013	20.53409669	0.06319416917	105.03125	-2.042902224	97.5	15.67143345	2.540826082	41.375	38.53125	-0.0004441216006	#NUM!	#NUM!	#NUM!	#NUM!	20.62684822	0.06319417059	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	138.6302032	0.4266377687	76.59204102	45.17766571	39.59375	80	105.0341949	59.4140625	722.1220093	241.8443298	686.5714907	 
0.01182040013	20.59593152	0.07982682295	105.75	-2.031763516	97.375	15.67143345	2.540826082	44.90625	40.3125	-3.8416e-005	#NUM!	#NUM!	#NUM!	#NUM!	20.65776634	0.06652069837	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	139.0476685	0.5389284492	77.10819244	47.45967102	39.79740524	80	105.7705231	58.62408066	722.1220093	242.1572876	687.3014907	 
