Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Systolic	Diastolic	Barometric Pressure	Water Vapour Pressure	 	Water Vapour Pressure
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time	Cmt Text
L/s	%O2	%CO2	mmHg	V	%	 	%	cm/s	cm/s	L	L	BPM	L/min	L/min	%O2	%CO2	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	mmHg	mmHg	mmHg	s	 
-0.02532141656	20.88914481	0.04352718267	113.03125	-2.017387918	95.25	20.22630033	0.4378713018	26.96875	-0.0625	-0.005641107447	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.2475586	0.2964044511	76.63752747	#NUM!	-0.02999999933	53.02325439	#NUM!	#NUM!	727.9639893	#NUM!	0.23	 
-0.02532141656	20.95003971	0.03705861116	111.96875	-2.012841993	95.34375	20.2075223	0.4228877776	27.59375	0.03125	-0.03550770879	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.6622162	0.252355814	91.11437225	38.91841888	-0.009375000373	53.05926132	112.0049057	68.96865845	727.9639893	321.2909241	1.44	 
-0.02378678508	20.91959226	0.04029289692	118.71875	-2.018387546	96.5	20.21691132	0.4246858005	53.78125	0.03125	-0.1452043802	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.4548798	0.2743801177	88.07087708	42.07343674	-0.01420454588	65.69185638	118.7226563	70.38456726	727.9639893	370.4842224	5.82	 
-0.02762336284	20.95003971	0.04029289692	118	-2.019744184	96.53125	20.22630033	0.4174937089	56.90625	0.125	-0.1677669883	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.6622162	0.2743801177	88.94166565	40.87303925	-0.02500000037	53.49074173	118.0269394	71.65625	727.9639893	372.5609741	6.715	 
-0.02608873136	20.95003971	0.04352718267	121.6875	-2.014531839	96.21875	20.21691132	0.4222884367	29.59375	0	-0.1905009001	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.6622162	0.2964044511	87.6388092	40.87303925	-0.02656250075	49.87044907	121.7109375	67.89499664	727.9639893	376.4833984	7.615	 
-0.02455409989	21.04138206	0.04352718267	122.34375	-2.016293088	96.25	20.22630033	0.4067055715	29.53125	0.09375	-0.2185647637	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	143.2842255	0.2964044511	86.32695007	40.0298233	-0.03125	57.9525795	122.34375	66.8359375	727.9639893	374.6574097	8.735	 
-0.02455409989	20.91959226	0.03705861116	119.8125	-2.011628159	96.21875	20.22630033	0.3965167751	32.5	-0.03125	-0.2485773116	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.4548798	0.252355814	87.33308411	42.13995361	-0.02864583395	62.12831497	119.8683395	68.02310944	727.9639893	365.3320007	9.935	 
-0.02071752213	20.88914481	0.03705861116	117.1875	-2.019577579	96.28125	20.23568934	0.4198910728	64.8125	-0.03125	-0.2748295367	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.2475586	0.252355814	86.70304108	44.24384308	-0.0078125	66.62462616	117.2449036	69.15077972	727.9639893	354.5594177	10.99	 
