Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Systolic	Diastolic	Barometric Pressure	Water Vapour Pressure	 	Water Vapour Pressure
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time	Cmt Text
L/s	%O2	%CO2	mmHg	V	%	 	%	cm/s	cm/s	L	L	BPM	L/min	L/min	%O2	%CO2	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	mmHg	mmHg	mmHg	s	 
-0.004339293577	20.9672695	0.04730086419	101.0625	-2.017554523	0.4375	20.97884684	0.02199324516	-0.0625	0	-0.003221094143	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.7795563	0.3221018612	40.05531311	-0.1180555522	-0.008928571828	#NUM!	#NUM!	#NUM!	727.9639893	#NUM!	0.59	 
-0.003616078291	20.93666732	0.04081743123	101.03125	-2.01745932	0.34375	20.97884684	0.03193645475	-0.1875	-0.15625	-0.008858863264	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5711517	0.2779520154	13.55455399	-0.137500003	-0.0223214291	#NUM!	107.7295151	-8.292747498	727.9639893	-35.60097885	1.59	 
-0.004339293577	20.99787167	0.04081743123	0.4375	-2.017982935	0.375	20.98198043	0.05057997273	-0.125	-0.09375	-0.02552183717	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.9879456	0.2779520154	-0.02403846197	-0.125	-0.03437500075	#NUM!	107.7295151	-8.292747498	727.9639893	-35.60097885	4.52	 
-0.003616078291	20.9672695	0.03757571475	0.4375	-2.016554895	0.40625	20.97884684	0.05430867633	-0.03125	0	-0.02588574775	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.7795563	0.2558770776	-0.05965908989	-0.1187499985	-0.01875000075	#NUM!	107.7295151	-8.292747498	727.9639893	-35.60097885	4.585	 
-0.006508940831	20.99787167	0.04081743123	0.53125	-2.016769101	0.40625	20.97884684	0.02199324516	-0.15625	-0.03125	-0.02618580684	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.9879456	0.2779520154	-0.1514423043	-0.109375	0.002083333442	#NUM!	107.7295151	-8.292747498	727.9639893	-35.60097885	4.64	 
-0.005062509328	20.99787167	0.04405914771	0.5	-2.0167215	0.375	20.97884684	0.01329293676	-0.15625	-0.0625	-0.02653683349	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.9879456	0.3000269234	-0.05803571269	-0.1187499985	-0.01654411852	#NUM!	107.7295151	-8.292747498	727.9639893	-35.60097885	4.705	 
-0.005062509328	20.9672695	0.03757571475	0.3125	-2.015174457	0.40625	20.98198043	0.03193645475	-0.09375	0	-0.02674190886	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.7795563	0.2558770776	-0.234375	-0.1000000015	-0.01654411852	#NUM!	107.7295151	-8.292747498	727.9639893	-35.60097885	4.74	 
-0.003616078291	20.93666732	0.04081743123	0.34375	-2.01491265	0.4375	20.97884684	0.02075034396	-0.125	-0.0625	-0.0269209519	#NUM!	#NUM!	#NUM!	#NUM!	20.97999954	0.03999999911	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	142.5711517	0.2779520154	0.01250000019	-0.1328125	-0.01654411852	#NUM!	107.7295151	-8.292747498	727.9639893	-35.60097885	4.77	 
